" ""On average, how much do you pay (in US dollars) for your medications on a monthly basis out of pocket?""",,,,,,,,
,,,,,,,,
Respondent ID,Open-Ended Response,,,,,,Average =,98.40353982
10632499407,200,,,,,,,
10580166038,200,,,,,,,
10579551441,200,,,,,,,
10688508584,195,,,,,,,
11137973158,180,,,,,,,
10574898510,160,,,,,,,
11241251752,150,,,,,,,
11238774708,150,,,,,,,
11156698544,150,,,,,,,
11137570486,150,,,,,,,
11136832253,150,,,,,,,
11135531344,150,,,,,,,
11135238481,150,,,,,,,
11134530007,150,,,,,,,
10876485783,150,,,,,,,
10875617011,150,,,,,,,
10875473988,150,,,,,,,
10849354793,150,,,,,,,
10848029491,150,,,,,,,
10847177434,150,,,,,,,
10685524216,150,,,,,,,
10677653881,150,,,,,,,
10624147163,150,,,,,,,
10600857474,150,,,,,,,
10598255910,150,,,,,,,
11212805644,150,,,,,,,
10767176517,150,,,,,,,
11105188699,140,,,,,,,
11136798812,125,,,,,,,
11248704898,100,,,,,,,
11156548224,100,,,,,,,
11135054557,100,,,,,,,
11134647286,100,,,,,,,
11134504342,100,,,,,,,
11134478610,100,,,,,,,
11065588769,100,,,,,,,
10893828061,100,,,,,,,
10878422887,100,,,,,,,
10859949104,100,,,,,,,
10851063447,100,,,,,,,
10844338129,100,,,,,,,
10836154511,100,,,,,,,
10832732691,100,,,,,,,
10706606981,100,,,,,,,
10662496256,100,,,,,,,
10598221024,100,,,,,,,
10597419828,100,,,,,,,
10579835521,100,,,,,,,
11170278059,100,,,,,,,
10671009796,100,,,,,,,
10832224616,90,,,,,,,
10581571841,90,,,,,,,
11135022253,80,,,,,,,
11100035804,80,,,,,,,
10847199598,80,,,,,,,
10583893598,80,,,,,,,
10885759801,75,,,,,,,
10846997868,75,,,,,,,
10834149798,75,,,,,,,
10581940017,75,,,,,,,
10579439505,75,,,,,,,
10886504576,70,,,,,,,
10847253946,70,,,,,,,
10569070427,70,,,,,,,
11135122023,60,,,,,,,
10872649413,60,,,,,,,
10832173617,60,,,,,,,
10831865696,60,,,,,,,
10685117930,60,,,,,,,
10600284760,60,,,,,,,
10758288741,60,,,,,,,
10575282159,56,,,,,,,
11134531419,55,,,,,,,
11062634752,55,,,,,,,
10857725293,55,,,,,,,
10832200410,55,,,,,,,
11221636373,50,,,,,,,
11134508380,50,,,,,,,
10952093942,50,,,,,,,
10890414342,50,,,,,,,
10879268147,50,,,,,,,
10876876072,50,,,,,,,
10843816117,50,,,,,,,
10843815732,50,,,,,,,
10843810346,50,,,,,,,
10837914247,50,,,,,,,
10832206360,50,,,,,,,
10830786742,50,,,,,,,
10763284450,50,,,,,,,
10668135000,50,,,,,,,
10668103394,50,,,,,,,
10661330404,50,,,,,,,
10622502829,50,,,,,,,
10567016644,50,,,,,,,
10991821033,50,,,,,,,
10625261595,50,,,,,,,
10583058257,50,,,,,,,
11164232720,46,,,,,,,
11135054998,45,,,,,,,
10847172551,45,,,,,,,
10667907917,45,,,,,,,
10566297731,45,,,,,,,
10875462742,44,,,,,,,
11166474867,40,,,,,,,
11134708109,40,,,,,,,
11030978965,40,,,,,,,
11023090140,40,,,,,,,
10887410730,40,,,,,,,
10847317503,40,,,,,,,
10847305299,40,,,,,,,
10847151018,40,,,,,,,
10832191551,40,,,,,,,
10830896942,40,,,,,,,
10808168894,40,,,,,,,
10682649508,40,,,,,,,
10667369837,40,,,,,,,
10604065323,40,,,,,,,
10580153046,40,,,,,,,
10831929904,35,,,,,,,
11042816472,35,,,,,,,
11246906361,30,,,,,,,
11239200945,30,,,,,,,
11135889511,30,,,,,,,
11135317065,30,,,,,,,
11134799419,30,,,,,,,
11134443636,30,,,,,,,
11102541656,30,,,,,,,
11033502369,30,,,,,,,
11027692007,30,,,,,,,
10932820377,30,,,,,,,
10878214093,30,,,,,,,
10877565497,30,,,,,,,
10876392009,30,,,,,,,
10875530570,30,,,,,,,
10875507777,30,,,,,,,
10847009623,30,,,,,,,
10832483530,30,,,,,,,
10691181667,30,,,,,,,
10681003613,30,,,,,,,
10667425695,30,,,,,,,
10580913646,30,,,,,,,
10580341387,30,,,,,,,
10607782752,30,,,,,,,
10574111964,30,,,,,,,
10847312529,28,,,,,,,
11134932854,25,,,,,,,
11134536706,25,,,,,,,
11132638848,25,,,,,,,
10843797483,25,,,,,,,
10837056649,25,,,,,,,
10665891738,25,,,,,,,
10648772348,25,,,,,,,
10596255014,25,,,,,,,
10598306507,25,,,,,,,
10856003172,24,,,,,,,
11245529294,20,,,,,,,
11188216657,20,,,,,,,
11183903124,20,,,,,,,
11166384877,20,,,,,,,
11138361963,20,,,,,,,
10922773382,20,,,,,,,
10880715177,20,,,,,,,
10865132242,20,,,,,,,
10855896441,20,,,,,,,
10849063157,20,,,,,,,
10848742483,20,,,,,,,
10843856498,20,,,,,,,
10843808762,20,,,,,,,
10843799997,20,,,,,,,
10843795703,20,,,,,,,
10835384840,20,,,,,,,
10833532176,20,,,,,,,
10832343863,20,,,,,,,
10823088016,20,,,,,,,
10726117373,20,,,,,,,
10716518478,20,,,,,,,
10598122285,20,,,,,,,
10584760225,20,,,,,,,
11037955315,20,,,,,,,
10593696728,20,,,,,,,
11250357688,16,,,,,,,
10832167633,16,,,,,,,
11140621270,15,,,,,,,
10860704252,15,,,,,,,
10577209087,15,,,,,,,
10978796014,15,,,,,,,
11249832802,10,,,,,,,
11212618775,10,,,,,,,
11161813510,10,,,,,,,
11137652132,10,,,,,,,
11135990132,10,,,,,,,
11134572563,10,,,,,,,
11134451924,10,,,,,,,
11064342543,10,,,,,,,
10893268968,10,,,,,,,
10877788133,10,,,,,,,
10876100377,10,,,,,,,
10875511603,10,,,,,,,
10867812743,10,,,,,,,
10860535252,10,,,,,,,
10844260968,10,,,,,,,
10831948698,10,,,,,,,
10831158462,10,,,,,,,
10822727213,10,,,,,,,
10671153091,10,,,,,,,
10667384979,10,,,,,,,
10667384024,10,,,,,,,
10591451425,10,,,,,,,
10568865766,10,,,,,,,
10598727391,10,,,,,,,
10583000127,10,,,,,,,
11166535497,9,,,,,,,
10598715725,9,,,,,,,
11135212674,8,,,,,,,
11061878386,8,,,,,,,
10834332090,8,,,,,,,
10832012122,8,,,,,,,
10658774056,8,,,,,,,
11036310394,7,,,,,,,
11186271761,7,,,,,,,
11149744263,5,,,,,,,
10837706698,5,,,,,,,
10965547652,5,,,,,,,
10882385979,4,,,,,,,
10875458883,3,,,,,,,
10832270581,1,,,,,,,
10585520406,1,,,,,,,
10575878347,1,,,,,,,
10566881623,1,,,,,,,
11250741921,0,,,,,,,
11250528880,0,,,,,,,
11250243595,0,,,,,,,
11249989922,0,,,,,,,
11249911719,0,,,,,,,
11249871277,0,,,,,,,
11249491628,0,,,,,,,
11249421052,0,,,,,,,
11248164514,0,,,,,,,
11241395977,0,,,,,,,
11238685800,0,,,,,,,
11238671751,0,,,,,,,
11238077963,0,,,,,,,
11236750096,0,,,,,,,
11232533197,0,,,,,,,
11231679765,0,,,,,,,
11226611149,0,,,,,,,
11222559871,0,,,,,,,
11220644956,0,,,,,,,
11215559561,0,,,,,,,
11214928564,0,,,,,,,
11212784708,0,,,,,,,
11211717848,0,,,,,,,
11181279818,0,,,,,,,
11166997346,0,,,,,,,
11148900374,0,,,,,,,
11148362084,0,,,,,,,
11142252658,0,,,,,,,
11141987359,0,,,,,,,
11141027225,0,,,,,,,
11140569970,0,,,,,,,
11138930846,0,,,,,,,
11138400653,0,,,,,,,
11137664485,0,,,,,,,
11137625236,0,,,,,,,
11137541759,0,,,,,,,
11136861481,0,,,,,,,
11135916791,0,,,,,,,
11135849827,0,,,,,,,
11135570279,0,,,,,,,
11135476295,0,,,,,,,
11135466512,0,,,,,,,
11135411524,0,,,,,,,
11135389919,0,,,,,,,
11135380294,0,,,,,,,
11135151906,0,,,,,,,
11135136344,0,,,,,,,
11135087208,0,,,,,,,
11134926998,0,,,,,,,
11134769709,0,,,,,,,
11134698105,0,,,,,,,
11134691787,0,,,,,,,
11134549629,0,,,,,,,
11134526749,0,,,,,,,
11134452367,0,,,,,,,
11134445906,0,,,,,,,
11131514317,0,,,,,,,
11129003813,0,,,,,,,
11111974827,0,,,,,,,
11065479544,0,,,,,,,
11064470565,0,,,,,,,
11064360862,0,,,,,,,
11062688483,0,,,,,,,
11057923056,0,,,,,,,
11054943670,0,,,,,,,
11054783496,0,,,,,,,
11050438627,0,,,,,,,
11034650778,0,,,,,,,
11014798443,0,,,,,,,
11003496788,0,,,,,,,
10994464098,0,,,,,,,
10978063065,0,,,,,,,
10975405385,0,,,,,,,
10908463163,0,,,,,,,
10902224469,0,,,,,,,
10900800324,0,,,,,,,
10893948558,0,,,,,,,
10893671348,0,,,,,,,
10893153651,0,,,,,,,
10889700541,0,,,,,,,
10888170961,0,,,,,,,
10887363314,0,,,,,,,
10886185272,0,,,,,,,
10886020524,0,,,,,,,
10885623844,0,,,,,,,
10884768912,0,,,,,,,
10883497633,0,,,,,,,
10879062209,0,,,,,,,
10878751296,0,,,,,,,
10877606410,0,,,,,,,
10877416704,0,,,,,,,
10877375002,0,,,,,,,
10877194985,0,,,,,,,
10876604101,0,,,,,,,
10876510380,0,,,,,,,
10876001530,0,,,,,,,
10875993925,0,,,,,,,
10875944995,0,,,,,,,
10875700450,0,,,,,,,
10875696093,0,,,,,,,
10875562577,0,,,,,,,
10875529110,0,,,,,,,
10875526461,0,,,,,,,
10875479466,0,,,,,,,
10875467061,0,,,,,,,
10875460020,0,,,,,,,
10874749577,0,,,,,,,
10872986638,0,,,,,,,
10872582813,0,,,,,,,
10872131442,0,,,,,,,
10868096498,0,,,,,,,
10867810520,0,,,,,,,
10867615622,0,,,,,,,
10865633390,0,,,,,,,
10864981709,0,,,,,,,
10864900624,0,,,,,,,
10864851918,0,,,,,,,
10864052390,0,,,,,,,
10863841131,0,,,,,,,
10859616580,0,,,,,,,
10858082192,0,,,,,,,
10857243738,0,,,,,,,
10856437127,0,,,,,,,
10856302482,0,,,,,,,
10852545455,0,,,,,,,
10851677235,0,,,,,,,
10851333216,0,,,,,,,
10849214021,0,,,,,,,
10847964940,0,,,,,,,
10847826329,0,,,,,,,
10847049077,0,,,,,,,
10847042681,0,,,,,,,
10847038072,0,,,,,,,
10847010995,0,,,,,,,
10847006667,0,,,,,,,
10846990356,0,,,,,,,
10844664050,0,,,,,,,
10844360022,0,,,,,,,
10844298162,0,,,,,,,
10844236012,0,,,,,,,
10844213348,0,,,,,,,
10844069184,0,,,,,,,
10843875549,0,,,,,,,
10843819934,0,,,,,,,
10843803790,0,,,,,,,
10843259075,0,,,,,,,
10843006971,0,,,,,,,
10842274754,0,,,,,,,
10842054674,0,,,,,,,
10840899449,0,,,,,,,
10836330737,0,,,,,,,
10835639035,0,,,,,,,
10835578531,0,,,,,,,
10834416742,0,,,,,,,
10834379529,0,,,,,,,
10834249218,0,,,,,,,
10834053271,0,,,,,,,
10833997993,0,,,,,,,
10833972658,0,,,,,,,
10833790283,0,,,,,,,
10833785776,0,,,,,,,
10833722328,0,,,,,,,
10832963325,0,,,,,,,
10832733276,0,,,,,,,
10832451640,0,,,,,,,
10832404058,0,,,,,,,
10832233395,0,,,,,,,
10832233224,0,,,,,,,
10832168862,0,,,,,,,
10832128566,0,,,,,,,
10831931418,0,,,,,,,
10831898832,0,,,,,,,
10831893906,0,,,,,,,
10831792008,0,,,,,,,
10831686982,0,,,,,,,
10831623393,0,,,,,,,
10831609109,0,,,,,,,
10831397885,0,,,,,,,
10831181023,0,,,,,,,
10830882008,0,,,,,,,
10830145897,0,,,,,,,
10822875373,0,,,,,,,
10822621750,0,,,,,,,
10822544735,0,,,,,,,
10813811475,0,,,,,,,
10802360410,0,,,,,,,
10800317244,0,,,,,,,
10764443236,0,,,,,,,
10758753382,0,,,,,,,
10756966241,0,,,,,,,
10749570344,0,,,,,,,
10685325930,0,,,,,,,
10677560387,0,,,,,,,
10675806972,0,,,,,,,
10675097210,0,,,,,,,
10671862630,0,,,,,,,
10670361680,0,,,,,,,
10669140575,0,,,,,,,
10668597062,0,,,,,,,
10668312322,0,,,,,,,
10667582585,0,,,,,,,
10667398958,0,,,,,,,
10660833205,0,,,,,,,
10660294275,0,,,,,,,
10658741910,0,,,,,,,
10658649988,0,,,,,,,
10658577550,0,,,,,,,
10658550964,0,,,,,,,
10626251939,0,,,,,,,
10622925288,0,,,,,,,
10618149896,0,,,,,,,
10615243125,0,,,,,,,
10605637047,0,,,,,,,
10602936383,0,,,,,,,
10596131278,0,,,,,,,
10583372838,0,,,,,,,
10582003543,0,,,,,,,
10581447651,0,,,,,,,
10579927077,0,,,,,,,
10577642085,0,,,,,,,
10577144137,0,,,,,,,
10575849400,0,,,,,,,
10575471607,0,,,,,,,
10575274340,0,,,,,,,
10575226552,0,,,,,,,
10575091533,0,,,,,,,
10572546454,0,,,,,,,
10569704133,0,,,,,,,
10569280747,0,,,,,,,
11213907729,0,,,,,,,
11151215837,0,,,,,,,
11072705197,0,,,,,,,
11009295893,0,,,,,,,
10977935510,0,,,,,,,
10974652472,0,,,,,,,
10974437681,0,,,,,,,
10632389881,0,,,,,,,
10628926943,0,,,,,,,
10598807297,0,,,,,,,
10593527279,0,,,,,,,
10868495105,0,,,,,,,
10760373939,0,,,,,,,
10719755952,0,,,,,,,
10716623034,0,,,,,,,
10699810522,0,,,,,,,
10659241585,0,,,,,,,
10647255505,0,,,,,,,
10575479401,0,,,,,,,
10569513731,0,,,,,,,
10684698263,0,,,,,,,
